start_date,events,attendances_in_person,attendances_online,cumulative_events,cumulative_attendances_in_person,cumulative_attendances_online
2022-10-21,1,0,0,1,0,0
2022-10-28,0,0,0,1,0,0
2022-11-04,0,0,0,1,0,0
2022-11-11,0,0,0,1,0,0
2022-11-18,0,0,0,1,0,0
2022-11-25,0,0,0,1,0,0
2022-12-02,0,0,0,1,0,0
2022-12-09,0,0,0,1,0,0
2022-12-16,0,0,0,1,0,0
2022-12-23,0,0,0,1,0,0
2022-12-30,0,0,0,1,0,0
2023-01-06,0,0,0,1,0,0
2023-01-13,0,0,0,1,0,0
2023-01-20,0,0,0,1,0,0
2023-01-27,0,0,0,1,0,0
2023-02-03,0,0,0,1,0,0
2023-02-10,1,0,0,2,0,0
2023-02-17,0,0,0,2,0,0
2023-02-24,1,8,0,3,8,0
2023-03-03,2,39,0,5,47,0
2023-03-10,0,0,0,5,47,0
2023-03-17,3,42,0,8,89,0
2023-03-24,6,94,0,14,183,0
2023-03-31,3,58,0,17,241,0
2023-04-07,2,43,0,19,284,0
2023-04-14,2,25,0,21,309,0
2023-04-21,3,76,0,24,385,0
2023-04-28,9,296,0,33,681,0
2023-05-05,4,530,0,37,1211,0
2023-05-12,12,1191,0,49,2402,0
2023-05-19,9,7677,0,58,10079,0
2023-05-26,2,316,0,60,10395,0
